i;t;s;bs;T;
381;12.274;2969.1;2965.29;59.049;
382;12.291;2967.06;2965.29;59.049;
383;12.308;2967.06;2965.29;59.049;
384;12.325;2971.81;2965.29;59.049;
385;12.341;2978.43;2965.29;59.049;
386;12.358;2966.61;2965.29;59.049;
387;12.375;2966.61;2965.29;59.049;
388;12.394;2967.54;2965.29;59.049;
389;12.41;2967.96;2965.29;59.049;
390;12.433;2975.85;2965.29;59.049;
391;12.455;2975.43;2965.29;59.049;
392;12.474;2975.43;2965.29;59.049;
393;12.494;2979.26;2965.29;59.049;
394;12.516;2979.26;2965.29;59.049;
395;12.531;2984.26;2965.29;59.049;
396;12.549;2984.26;2965.29;59.049;
397;12.567;2980.82;2965.29;59.049;
398;12.585;2976.99;2965.29;59.049;
399;12.599;2967.78;2965.29;59.049;
400;12.621;2972.54;2965.29;59.049;
401;12.64;2974.27;2965.29;59.049;
402;12.659;2974.27;2965.29;59.049;
403;12.681;2974.69;2965.29;59.049;
404;12.695;2974.69;2965.29;59.049;
405;12.717;2981.82;2965.29;53.1441;
406;12.733;2981.7;2965.29;53.1441;
407;12.752;2979.97;2965.29;53.1441;
408;12.771;2978.31;2965.29;53.1441;
409;12.786;2978.31;2965.29;53.1441;
410;12.805;2978.31;2965.29;53.1441;
411;12.822;2974.7;2965.29;53.1441;
412;12.842;2974.7;2965.29;53.1441;
413;12.862;2974.68;2965.29;53.1441;
414;12.881;2974.7;2965.29;53.1441;
415;12.899;2981.09;2965.29;53.1441;
416;12.916;3004.26;2965.29;53.1441;
417;12.933;3009.88;2965.29;53.1441;
418;12.949;3006.34;2965.29;53.1441;
419;12.97;3003.51;2965.29;53.1441;
420;12.985;2999.68;2965.29;53.1441;
421;13.004;2999.68;2965.29;53.1441;
422;13.021;3002.43;2965.29;53.1441;
423;13.042;2996.03;2965.29;53.1441;
424;13.062;2996.03;2965.29;53.1441;
425;13.077;3002.81;2965.29;53.1441;
426;13.098;2990.88;2965.29;53.1441;
427;13.112;2989.02;2965.29;53.1441;
428;13.131;2988.27;2965.29;53.1441;
429;13.147;2988.27;2965.29;53.1441;
430;13.164;3000.81;2965.29;53.1441;
431;13.182;3000.8;2965.29;53.1441;
432;13.199;3001.31;2965.29;53.1441;
433;13.214;3005.46;2965.29;53.1441;
434;13.231;3006.82;2965.29;53.1441;
435;13.251;3006.93;2965.29;53.1441;
436;13.267;3006.88;2965.29;53.1441;
437;13.285;3003.66;2965.29;53.1441;
438;13.3;3004.09;2965.29;53.1441;
439;13.319;2995.01;2965.29;53.1441;
440;13.337;2993.65;2965.29;53.1441;
441;13.354;2993.65;2965.29;53.1441;
442;13.372;2998.8;2965.29;53.1441;
443;13.39;2998.8;2965.29;53.1441;
444;13.41;2998.8;2965.29;53.1441;
445;13.425;3002.02;2965.29;53.1441;
446;13.444;3003.27;2965.29;53.1441;
447;13.461;3002.76;2965.29;53.1441;
448;13.48;3002.8;2965.29;53.1441;
449;13.494;3004.06;2965.29;53.1441;
450;13.512;3005.95;2965.29;53.1441;
451;13.527;3004.06;2965.29;53.1441;
452;13.544;3001.59;2965.29;53.1441;
453;13.56;3005.13;2965.29;53.1441;
454;13.577;3003.13;2965.29;53.1441;
455;13.593;3002.37;2965.29;53.1441;
456;13.608;3005.6;2965.29;53.1441;
457;13.625;3005.04;2965.29;53.1441;
458;13.644;2999.89;2965.29;53.1441;
459;13.664;2999.89;2965.29;53.1441;
460;13.68;3000.81;2965.29;53.1441;
461;13.697;3005.82;2965.29;53.1441;
462;13.714;3000.81;2965.29;53.1441;
463;13.732;2996.32;2965.29;53.1441;
464;13.749;3000.83;2965.29;53.1441;
465;13.768;3000.84;2965.29;53.1441;
466;13.786;3000.84;2965.29;53.1441;
467;13.805;2999.82;2965.29;53.1441;
468;13.82;2999.82;2965.29;53.1441;
469;13.837;3003.29;2965.29;53.1441;
470;13.855;3004.16;2965.29;53.1441;
471;13.871;3004.16;2965.29;47.8297;
472;13.887;3004.16;2965.29;47.8297;
473;13.902;3000.84;2965.29;47.8297;
474;13.919;2999.97;2965.29;47.8297;
475;13.934;2996.75;2965.29;47.8297;
476;13.952;2997.09;2965.29;47.8297;
477;13.967;2993.3;2965.29;47.8297;
478;13.985;2976.53;2965.29;47.8297;
479;14;2978.31;2965.29;47.8297;
480;14.016;2977.78;2965.29;47.8297;
481;14.033;2977.87;2965.29;47.8297;
482;14.049;2974.86;2965.29;47.8297;
483;14.065;2974.86;2965.29;47.8297;
484;14.084;2974.51;2965.29;47.8297;
485;14.098;2975.04;2965.29;47.8297;
486;14.117;2978.47;2965.29;47.8297;
487;14.132;2982.41;2965.29;47.8297;
488;14.15;2978.47;2965.29;47.8297;
489;14.165;2978.47;2965.29;47.8297;
490;14.183;2978.47;2965.29;47.8297;
491;14.198;2976.87;2965.29;47.8297;
492;14.217;2976.87;2965.29;47.8297;
493;14.233;2976.87;2965.29;47.8297;
494;14.249;2976.87;2965.29;47.8297;
495;14.268;2976.26;2965.29;47.8297;
496;14.282;2976.26;2965.29;47.8297;
497;14.299;2972.83;2965.29;47.8297;
498;14.313;2973.75;2965.29;47.8297;
499;14.328;2973.71;2965.29;47.8297;
500;14.343;2977.15;2965.29;47.8297;
501;14.361;2976.11;2965.29;47.8297;
502;14.376;2979.16;2965.29;47.8297;
503;14.391;2976.11;2965.29;47.8297;
504;14.406;2976.72;2965.29;47.8297;
505;14.422;2980.65;2965.29;47.8297;
506;14.438;2985.66;2965.29;47.8297;
507;14.452;2985.57;2965.29;47.8297;
508;14.47;2983.68;2965.29;47.8297;
509;14.484;2986.69;2965.29;47.8297;
510;14.501;2989.17;2965.29;47.8297;
511;14.515;2991.48;2965.29;47.8297;
512;14.532;2988.16;2965.29;47.8297;
513;14.547;2988.25;2965.29;47.8297;
514;14.563;2987.65;2965.29;47.8297;
515;14.578;2987.65;2965.29;47.8297;
516;14.594;2987.65;2965.29;47.8297;
517;14.608;2993.92;2965.29;47.8297;
518;14.624;2991.44;2965.29;47.8297;
519;14.641;2993.92;2965.29;47.8297;
520;14.656;2991.55;2965.29;47.8297;
521;14.672;2991.55;2965.29;47.8297;
522;14.687;2991.55;2965.29;47.8297;
523;14.703;2991.55;2965.29;47.8297;
524;14.719;2991.32;2965.29;47.8297;
525;14.735;2989.7;2965.29;47.8297;
526;14.75;2989.7;2965.29;47.8297;
527;14.767;2994.3;2965.29;47.8297;
528;14.783;2997.63;2965.29;47.8297;
529;14.798;2991.36;2965.29;47.8297;
530;14.813;2991.36;2965.29;47.8297;
531;14.829;2991.36;2965.29;47.8297;
532;14.846;2988.56;2965.29;47.8297;
533;14.861;2988.54;2965.29;47.8297;
534;14.878;2992.08;2965.29;47.8297;
535;14.892;2992.09;2965.29;47.8297;
536;14.909;2992.09;2965.29;43.0467;
537;14.923;2996.15;2965.29;43.0467;
538;14.94;2996.13;2965.29;43.0467;
539;14.954;2998.36;2965.29;43.0467;
540;14.971;2994.98;2965.29;43.0467;
541;14.985;2995.21;2965.29;43.0467;
542;15.001;2995.21;2965.29;43.0467;
543;15.015;2994.96;2965.29;43.0467;
544;15.031;2998.29;2965.29;43.0467;
545;15.046;2995.8;2965.29;43.0467;
546;15.061;2995.8;2965.29;43.0467;
547;15.076;2998.29;2965.29;43.0467;
548;15.092;2998.29;2965.29;43.0467;
549;15.108;2998.29;2965.29;43.0467;
